data_type,root_name_path,root_category_path,family_name,family_file_path,warning_text,warning_guid,warning_related_ids,warning_other_ids
Warnings,Sample_Family_Six,Specialty Equipment,Sample_Family_Six,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Six.rfa,No warnings present in family.,,None,None
Warnings,Sample_Family_Six :: Sample_Family_Thirteen,Specialty Equipment :: Section Marks,Sample_Family_Thirteen,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Six :: Sample_Family_Eleven,Specialty Equipment :: Generic Models,Sample_Family_Eleven,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Six :: Sample_Family_Eleven :: Section Tail - Upgrade,Specialty Equipment :: Generic Models :: Section Marks,Section Tail - Upgrade,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Six :: Sample_Family_Seven,Specialty Equipment :: Electrical Fixtures,Sample_Family_Seven,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Six :: Sample_Family_Seven :: Symbol_Outlet_GPO_Single_Emergency_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations,Symbol_Outlet_GPO_Single_Emergency_ANN,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Six :: Sample_Family_Seven :: Section Tail - Upgrade,Specialty Equipment :: Electrical Fixtures :: Section Marks,Section Tail - Upgrade,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations,Label_Text_Rotation_1_5mm_ANN,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN :: Label_Text_1_5mm_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations :: Generic Annotations,Label_Text_1_5mm_ANN,-,No warnings present in family.,,None,None
Warnings,Sample_Family_One,Plumbing Fixtures,Sample_Family_One,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_One.rfa,No warnings present in family.,,None,None
Warnings,Sample_Family_One :: Sample_Family_Thirteen,Plumbing Fixtures :: Section Marks,Sample_Family_Thirteen,-,No warnings present in family.,,None,None
Warnings,Sample_Family_One :: Sample_Family_Four,Plumbing Fixtures :: Plumbing Fixtures,Sample_Family_Four,-,No warnings present in family.,,None,None
Warnings,Sample_Family_One :: Sample_Family_Four :: Section Tail - Upgrade,Plumbing Fixtures :: Plumbing Fixtures :: Section Marks,Section Tail - Upgrade,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Nine,Furniture Systems,Sample_Family_Nine,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Nine.rfa,No warnings present in family.,,None,None
Warnings,Sample_Family_Nine :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Nine :: Sample_Family_Eight,Furniture Systems :: Furniture Systems,Sample_Family_Eight,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Nine :: Sample_Family_Eight :: Section Tail - Upgrade,Furniture Systems :: Furniture Systems :: Section Marks,Section Tail - Upgrade,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Three,Specialty Equipment,Sample_Family_Three,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Three.rfa,No warnings present in family.,,None,None
Warnings,Sample_Family_Three :: Sample_Family_Thirteen,Specialty Equipment :: Section Marks,Sample_Family_Thirteen,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Two,Furniture Systems,Sample_Family_Two,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Two.rfa,No warnings present in family.,,None,None
Warnings,Sample_Family_Two :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Two :: Sample_Family_Eight,Furniture Systems :: Furniture Systems,Sample_Family_Eight,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Two :: Sample_Family_Eight :: Section Tail - Upgrade,Furniture Systems :: Furniture Systems :: Section Marks,Section Tail - Upgrade,-,No warnings present in family.,,None,None
Warnings,Sample_Family_Five,Specialty Equipment,Sample_Family_Five,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Five.rfa,No warnings present in family.,,None,None
Warnings,Sample_Family_Five :: Sample_Family_Thirteen,Specialty Equipment :: Section Marks,Sample_Family_Thirteen,-,No warnings present in family.,,None,None
