MissingFamilyName,HostFilePath,FamilyBaseDataRootFamilies.categoryName,New FamilyName
Bath_Birthing_HYBA-023,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Bath_Birthing_HYBA-023.rfa,Plumbing Fixtures,Bath_Birthing_HYBA_023
Box_Alarm_MRI_MMMI-171,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Box_Alarm_MRI_MMMI-171.rfa,Electrical Fixtures,Box_Alarm_MRI_MMMI_171
Chair_Patient_ENT_Electric_MMGE-174,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Chair_Patient_ENT_Electric_MMGE-174.rfa,Specialty Equipment,Chair_Patient_ENT_Electric_MMGE_174
ControlPanel_AVSystem_WallMounted_SuppliedWithBracketAndKeyboard_ITAV-006,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\ControlPanel_AVSystem_WallMounted_SuppliedWithBracketAndKeyboard_ITAV-006.rfa,Electrical Equipment,ControlPanel_AVSystem_WallMounted_SuppliedWithBracketAndKeyboard_ITAV_006
Heater_Infant_Mobile_MMMA-003,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Heater_Infant_Mobile_MMMA-003.rfa,Specialty Equipment,Heater_Infant_Mobile_MMMA_003
Heater_Phototherapy_Mobile_MMMA-005,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Heater_Phototherapy_Mobile_MMMA-005.rfa,Specialty Equipment,Heater_Phototherapy_Mobile_MMMA_005
Holder_A3_Poster_Clip_Frame_WallMounted_FIDI-556,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Holder_A3_Poster_Clip_Frame_WallMounted_FIDI-556.rfa,Furniture,Holder_A3_Poster_Clip_Frame_WallMounted_FIDI_556
Holder_Document_A4_Perspex_OutsideRoom_FIDI-501,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Holder_Document_A4_Perspex_OutsideRoom_FIDI-501.rfa,Furniture,Holder_Document_A4_Perspex_OutsideRoom_FIDI_501
IV POLE_Pendant_MMOP_027 ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\IV POLE_Pendant_MMOP_027 .rfa,Specialty Equipment,IV POLE_Pendant_MMOP_027
Machine_Binding_FQGE-035,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Machine_Binding_FQGE-035.rfa,Specialty Equipment,Machine_Binding_FQGE_035
Monitor_Cardiac_CentralStation_WallMounted_MMHA-521_3,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Monitor_Cardiac_CentralStation_WallMounted_MMHA-521_3.rfa,Electrical Equipment,Monitor_Cardiac_CentralStation_WallMounted_MMHA_521_3
Panel_Joinery_Carcass_end_FIJO-213,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Panel_Joinery_Carcass_end_FIJO-213.rfa,Furniture,Panel_Joinery_Carcass_End_FIJO_213
Pedestal_Mobile_WireBasketUnit_840H_FQSM-003,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Pedestal_Mobile_WireBasketUnit_840H_FQSM-003.rfa,Furniture,Pedestal_Mobile_WireBasketUnit_840H_FQSM_003
Screen_Timber_VerticalBattens_90DegAngle_Solid Centre Panel AV Integration WLPT_515,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Walls & Wall Finishes (WL)\Screen_Timber_VerticalBattens_90DegAngle_Solid Centre Panel AV Integration WLPT_515.rfa,Casework,Screen_Timber_VerticalBattens_90DegAngle_SolidCentrePanel_AVIntegration_WLPT_515
WallPlate_StressGapHandleBracket_MMMI-586,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\WallPlate_StressGapHandleBracket_MMMI-586.rfa,Furniture,WallPlate_StressGapHandleBracket_MMMI_586
Ventilator_Pendant_MMHA_540 ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Ventilator_Pendant_MMHA_540 .rfa,Electrical Equipment,Ventilator_Pendant_MMHA_540
