MissingFamilyName,HostFilePath,FamilyBaseDataRootFamilies.categoryName,New FamilyName
_Furniture_Rod_Rectangle,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\_Furniture_Rod_Rectangle.rfa,Furniture,Rod_Rectangle_FUR
0811_SINK_FLUSHING RIM_BASE,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\0811_SINK_FLUSHING RIM_BASE.rfa,Plumbing Fixtures,Sink_Flushing_PLU
34188_743500W_BK_File_Rfa_149372_ori_2016May24085228,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\34188_743500W_BK_File_Rfa_149372_ori_2016May24085228.rfa,Plumbing Fixtures,Toilet_Suite_ExposedCistern_FaceBased_PLU
43854_Basin-Wall-Caroma Care 600,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\43854_Basin-Wall-Caroma Care 600.rfa,Plumbing Fixtures,Basin_CaromaCare600_PLU
44511_Caroma-Care-700-Shelf-RH-Wall-Basin,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\44511_Caroma-Care-700-Shelf-RH-Wall-Basin.rfa,Plumbing Fixtures,Basin_CaromaCare700_Shelf_RH_PLU
44512_Caroma-Care-700-Shelf-LH-Wall-Basin,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\44512_Caroma-Care-700-Shelf-LH-Wall-Basin.rfa,Plumbing Fixtures,Basin_CaromaCare700_Shelf_LH_PLU
551_Frame for-Shelving Adjustable,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\551_Frame for-Shelving Adjustable.rfa,Casework,Shelving_Frame_WallMounted_Adjustable_CAS
551_HANDLE_HAEFLE,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\551_HANDLE_HAEFLE.rfa,Casework,Handle_Haefele_CAS
574 BLINDS_PART_BVN,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\574 BLINDS_PART_BVN.rfa,Furniture,Blinds_LineGraphic_FUR
574 BLINDS_PART_BVN,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\574 BLINDS_PART_BVN.rfa,Specialty Equipment,Blinds_LineGraphic_SEQ
Angled Leg,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Angled Leg.rfa,Furniture,Leg_Workstation_Table_Angled_FUR
Apple Keyboard,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Equipment\Apple Keyboard.rfa,Electrical Equipment,Keyboard_Apple_EEQ
Apple Screen Backstand,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Apple Screen Backstand.rfa,Furniture,Screen_Apple_StandOnly_FUR
Atwell_Utah-leg,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Atwell_Utah-leg.rfa,Furniture,Leg_Chair_AtwellUtah_FUR
Atwell_Utah-leg-no arms,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Atwell_Utah-leg-no arms.rfa,Furniture,Leg_Chair_AtwellUtah_NoArms_FUR
Basin_Caroma_Opal_920Shelf,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_Caroma_Opal_920Shelf.rfa,Plumbing Fixtures,Basin_CaromaOpal920_Shelf_PLU
Basin_Caroma_Sole_Semi_Recessed,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_Caroma_Sole_Semi_Recessed.rfa,Plumbing Fixtures,Basin_CaromaSole_SemiRecessed_PLU
Basin-Caroma Opal Shroud,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin-Caroma Opal Shroud.rfa,Plumbing Fixtures,Basin_CaromaOpal_Shroud_PLU
Basin-Caroma Opal Shroud_Not Shared,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin-Caroma Opal Shroud_Not Shared.rfa,Plumbing Fixtures,Basin_CaromaOpal_Shroud_NotShared_PLU
Basin-Shroud-Caroma Opal_Not Shared,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin-Shroud-Caroma Opal_Not Shared.rfa,Plumbing Fixtures,Basin_CaromaOpal_Shroud_NotShared_PLU
BasketWire,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\BasketWire.rfa,Specialty Equipment,WireBasket_SEQ
Bath_Baby_Portable_FF_380_geometry,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Bath_Baby_Portable_FF_380_geometry.rfa,Plumbing Fixtures,Bath_Baby_Portable_920W_530D_250H_PLU
Bed_Patient_ICU,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bed_Patient_ICU.rfa,Furniture,Bed_Patient_ICU_FUR
Bed_Stretcher_PrimerSeries_30inch_SEQ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bed_Stretcher_PrimerSeries_30inch_SEQ.rfa,Furniture,Bed_Stretcher_PrimerSeries_30inch_FUR
Bench_Leg,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\Bench_Leg.rfa,Casework,Bench_Leg_CAS
BenchSeatLegs,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\BenchSeatLegs.rfa,Furniture,Legs_BenchSeat_FUR
BRACKET - SUCTION BOTTLE,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\BRACKET - SUCTION BOTTLE.rfa,Specialty Equipment,SuctionBottle_Bracket_SEQ
Bracket_Cleaning Wipes Dispenser,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_Cleaning Wipes Dispenser.rfa,Furniture,Bracket_CleaningWipes_Dispenser_FUR
Bracket_DeskMounted_Cardiac Monitor,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_DeskMounted_Cardiac Monitor.rfa,Furniture,Bracket_DeskMounted_Cardiac Monitor_FUR
Bracket_DeskMounted_Monitor,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_DeskMounted_Monitor.rfa,Furniture,Bracket_DeskMounted_Monitor_FUR
Bracket_ForOxygenAndNitrousOxideMixer,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_ForOxygenAndNitrousOxideMixer.rfa,Furniture,Bracket_ForOxygenAndNitrousOxideMixer_FUR
Bracket_Monitor_Cardiac_Keyboard Tray_Ergonomy Height Adjustable,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_Monitor_Cardiac_Keyboard Tray_Ergonomy Height Adjustable.rfa,Furniture,Bracket_Monitor_Cardiac_KeyboardTray_ErgonomyHeightAdjustable_FUR
Bracket_Monitor_Patient_Anaesthetic_WallMounted,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_Monitor_Patient_Anaesthetic_WallMounted.rfa,Furniture,Bracket_Monitor_Patient_Anaesthetic_WallMounted_FUR
Bracket_with Holder_Transport_Cardiac_Monitor,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_with Holder_Transport_Cardiac_Monitor.rfa,Furniture,Bracket_WithHolder_Transport_Cardiac_Monitor_FUR
Bulkhead Fill,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Detail Items\Bulkhead Fill.rfa,Detail Items,Bulkhead_Fill_DCO
