MissingFamilyName,HostFilePath,FamilyBaseDataRootFamilies.categoryName,New FamilyName
Window_Clean Room_PassThrough_DWWH_506,"\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Doors, Windows & Accessories (DW)\Window_Clean Room_PassThrough_DWWH_506.rfa",Specialty Equipment,Window_CleanRoom_PassThrough_DWWH_506
Equipotential Junction Box_ELBO_005,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\Equipotential Junction Box_ELBO_005.rfa,Electrical Fixtures,EquipotentialJunctionBox_ELBO_005
Switch_Lighting Control System_ELBO_524,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\Switch_Lighting Control System_ELBO_524.rfa,Electrical Fixtures,Switch_LightingControlSystem_ELBO_524
ControlPanel_Switchable_Electrochromic Glass_ELBO_566,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\ControlPanel_Switchable_Electrochromic Glass_ELBO_566.rfa,Electrical Fixtures,ControlPanel_Switchable_ElectrochromicGlass_ELBO_566
GPO_Emergency Power_Double_Operating TableMounted_ELGP_552,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\GPO_Emergency Power_Double_Operating TableMounted_ELGP_552.rfa,Electrical Fixtures,GPO_EmergencyPower_Double_OperatingTableMounted_ELGP_552
Socket_UPS starter_SoftWiredPower_WallMounted_ELGP_555,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\Socket_UPS starter_SoftWiredPower_WallMounted_ELGP_555.rfa,Electrical Fixtures,Socket_UPSstarter_SoftWiredPower_WallMounted_ELGP_555
UPS_Status Indicator_ELPR_007,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\UPS_Status Indicator_ELPR_007.rfa,Nurse Call Devices,UPS_StatusIndicator_ELPR_007
UPS_Status Indicator_Pendant_ELPR_502,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\UPS_Status Indicator_Pendant_ELPR_502.rfa,Electrical Equipment,UPS_StatusIndicator_Pendant_ELPR_502
UPS_Status Indicator_MSP_ELPR_503,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\UPS_Status Indicator_MSP_ELPR_503.rfa,Electrical Fixtures,UPS_StatusIndicator_MSP_ELPR_503
Dispenser_Sticker Roll_FIDI_052,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Dispenser_Sticker Roll_FIDI_052.rfa,Furniture,Dispenser_StickerRoll_FIDI_052
Dispenser_Cleaning Wipes_FIDI_504,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Dispenser_Cleaning Wipes_FIDI_504.rfa,Furniture,Dispenser_CleaningWipes_FIDI_504
Dispenser_Personal Protective Equipment_Standard_WallMounted_FIDI_516,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Dispenser_Personal Protective Equipment_Standard_WallMounted_FIDI_516.rfa,Furniture,Dispenser_PersonalProtectiveEquipment_Standard_WallMounted_FIDI_516
Dispenser_Personal Protective Equipment_Mini_WallMounted_FIDI_521,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Dispenser_Personal Protective Equipment_Mini_WallMounted_FIDI_521.rfa,Furniture,Dispenser_PersonalProtectiveEquipment_Mini_WallMounted_FIDI_521
Dispenser_AlcoholBasedSkinRub_ SurgicalScrub_FIDI_550,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Dispenser_AlcoholBasedSkinRub_ SurgicalScrub_FIDI_550.rfa,Furniture,Dispenser_AlcoholBasedSkinRub_SurgicalScrub_FIDI_550
Dispenser_Povidone Iodine_FIDI_553,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Dispenser_Povidone Iodine_FIDI_553.rfa,Furniture,Dispenser_PovidoneIodine_FIDI_553
