Name,Merged,Column1,New name
Bench_Leg,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\Bench_Leg.rfa,Casework,Bench_Leg_CAS
Handle,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\Handle.rfa,Casework,Handle_Pull_Adjustable_CAS
JOI_KOP_Door_Glass,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\JOI_KOP_Door_Glass.rfa,Casework,JOI_KOP_Door_Glass_CAS
JOI_KOP_Door_HingeTopBottom,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\JOI_KOP_Door_HingeTopBottom.rfa,Casework,JOI_KOP_Door_HingeTopBottom_CAS
JOI_KOP_Door_Sliding,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\JOI_KOP_Door_Sliding.rfa,Casework,JOI_KOP_Door_Sliding_CAS
JOI_KOP_Door_WithCutout,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\JOI_KOP_Door_WithCutout.rfa,Casework,JOI_KOP_Door_WithCutout_CAS
JOI_KOP_Drawer,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\JOI_KOP_Drawer.rfa,Casework,JOI_KOP_Drawer_CAS
JOI_KOP_Shelf,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\JOI_KOP_Shelf.rfa,Casework,JOI_KOP_Shelf_CAS
JOI_KOP_Skirting,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\JOI_KOP_Skirting.rfa,Casework,JOI_KOP_Skirting_CAS
JOI_KOP_Skirting_Double,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\JOI_KOP_Skirting_Double.rfa,Casework,JOI_KOP_Skirting_Double_CAS
WireBasket,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\WireBasket.rfa,Casework,WireBasket_CAS
WireBasket_Drawer_Angled,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\WireBasket_Drawer_Angled.rfa,Casework,WireBasket_Drawer_Angled_CAS
Charging Station_Multi,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Equipment\Charging Station_Multi.rfa,Electrical Equipment,ChargingStation_Multi_EEQ
Charging Station_Tablet Computers,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Equipment\Charging Station_Tablet Computers.rfa,Electrical Equipment,ChargingStation_TabletComputers_EEQ
Fridge_Drugs_Underbench,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Equipment\Fridge_Drugs_Underbench.rfa,Electrical Equipment,Fridge_Drugs_Underbench_EEQ
Monitor_Portrait_Landscape,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Equipment\Monitor_Portrait_Landscape.rfa,Electrical Equipment,Monitor_Portrait_Landscape_EEQ
Multifunctions Device Floor Standing,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Equipment\Multifunctions Device Floor Standing.rfa,Electrical Equipment,MultifunctionsDevice_FloorStanding_EEQ
Rotem Sigma,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Equipment\Rotem Sigma.rfa,Electrical Equipment,Device_CoagulationTesting_RotemSigma_EEQ 
Tablet_Bracket,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Equipment\Tablet_Bracket.rfa,Electrical Equipment,Tablet_Bracket_EEQ
Keyboard,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Equipment\Keyboard.rfa,Electrical Equipment,REPLACE_Keyboard
Specialty GPO,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Fixtures\Specialty GPO.rfa,Electrical Fixtures,GPO_Double_LozengeShape_Specialty_EFX
Angled Leg,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Angled Leg.rfa,Furniture,Leg_Workstation_Table_Angled_FUR
Atwell_Utah-leg-no arms,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Atwell_Utah-leg-no arms.rfa,Furniture,Leg_Chair_AtwellUtah_NoArms_FUR
Atwell_Utah-leg,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Atwell_Utah-leg.rfa,Furniture,Leg_Chair_AtwellUtah_FUR
Bed_Stretcher_PrimerSeries_30inch_SEQ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bed_Stretcher_PrimerSeries_30inch_SEQ.rfa,Furniture,Bed_Stretcher_PrimerSeries_30inch_FUR
BenchSeatLegs,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\BenchSeatLegs.rfa,Furniture,Legs_BenchSeat_FUR
Bracket_Cleaning Wipes Dispenser,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_Cleaning Wipes Dispenser.rfa,Furniture,Bracket_CleaningWipes_Dispenser_FUR
Bracket_DeskMounted_Monitor,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_DeskMounted_Monitor.rfa,Furniture,Bracket_DeskMounted_Monitor_FUR
Bracket_ForOxygenAndNitrousOxideMixer,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_ForOxygenAndNitrousOxideMixer.rfa,Furniture,Bracket_ForOxygenAndNitrousOxideMixer_FUR
Bracket_Monitor_Cardiac_Keyboard Tray_Ergonomy Height Adjustable,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_Monitor_Cardiac_Keyboard Tray_Ergonomy Height Adjustable.rfa,Furniture,Bracket_Monitor_Cardiac_KeyboardTray_ErgonomyHeightAdjustable_FUR
Bracket_with Holder_Transport_Cardiac_Monitor,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bracket_with Holder_Transport_Cardiac_Monitor.rfa,Furniture,Bracket_WithHolder_Transport_Cardiac_Monitor_FUR
Chair_Task,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Chair_Task.rfa,Furniture,Chair_Task_FUR
CRONA HIGH LOUNGE with Timber Legs,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\CRONA HIGH LOUNGE with Timber Legs.rfa,Furniture,Lounge_High_Crona_FUR
Crona Lounge,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Crona Lounge.rfa,Furniture,Lounge_Crona_FUR
Dispenser_Bottle,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Dispenser_Bottle.rfa,Furniture,Bottle_Dispenser_FUR
Dispenser_Bracket,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Dispenser_Bracket.rfa,Furniture,Bracket_Dispenser_FUR
Dispenser_Skinman 1L,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Dispenser_Skinman 1L.rfa,Furniture,Dispenser_Skinman_1L_FUR
Dispenser_Skinman 500ML,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Dispenser_Skinman 500ML.rfa,Furniture,Dispenser_Skinman_500ML_FUR
Drawer,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Drawer.rfa,Furniture,REPLACE_Drawer
Ergonomic Saddle,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Ergonomic Saddle.rfa,Furniture,Saddle_Ergonomic_FUR
Furniture_Wilkhahn_Confair_Table_440-00,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Furniture_Wilkhahn_Confair_Table_440-00.rfa,Furniture,Table_Wilkahn_Confair_FUR
Furniture_Wilkhahn_Confair_Table_LEGS,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Furniture_Wilkhahn_Confair_Table_LEGS.rfa,Furniture,Legs_Wilkahn_Confair_FUR
HAG Capisco 8106,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\HAG Capisco 8106.rfa,Furniture,Chair_HAG_Capisco_8106_FUR
Handle,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Handle.rfa,Furniture,Handle_Pull_178L_28D_FUR
Haworth_Atwell-Utah_Bariatric Chair,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Haworth_Atwell-Utah_Bariatric Chair.rfa,Furniture,Chair_Bariatric_AtwellUtah_FUR
Haworth_Atwell-Utah_Chair,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Haworth_Atwell-Utah_Chair.rfa,Furniture,Chair_AtwellUtah_FUR
Keyboard_Mouse_FUR,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Keyboard_Mouse_FUR.rfa,Furniture,REPLACE_Keyboard_Mouse_FUR
Keyboard_SEQ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Keyboard_SEQ.rfa,Furniture,REPLACE_Keyboard_SEQ
KOP_ShelvingFlat,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\KOP_ShelvingFlat.rfa,Furniture,KOP_ShelvingFlat_FUR
KOP_ShelvingFrame,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\KOP_ShelvingFrame.rfa,Furniture,KOP_ShelvingFrame_FUR
KOP_ShelvingFrameThreeBay,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\KOP_ShelvingFrameThreeBay.rfa,Furniture,KOP_ShelvingFrameThreeBay_FUR
KOP_ShelvingFrameTwoBay,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\KOP_ShelvingFrameTwoBay.rfa,Furniture,KOP_ShelvingFrameTwoBay_FUR
KOP_ShelvingWireBasket,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\KOP_ShelvingWireBasket.rfa,Furniture,KOP_ShelvingWireBasket_FUR
KOP_ShelvingWireBasket_Angled,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\KOP_ShelvingWireBasket_Angled.rfa,Furniture,KOP_ShelvingWireBasket_Angled_FUR
KOP_TrolleyRail,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\KOP_TrolleyRail.rfa,Furniture,KOP_TrolleyRail_FUR
Rack bottle,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Rack bottle.rfa,Furniture,Rack_Bottles_WallMounted_FUR
Sancal_lounge_chair_metal_feet,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Sancal_lounge_chair_metal_feet.rfa,Furniture,Chair_Lounge_Sancal_FUR
