Name,Merged,Column1,New name
SP-Door-Single-2-Graphic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\SP-Door-Single-2-Graphic.rfa,,Door_Single_2_Graphic_DCO
SP-Room-Lift-Graphic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\SP-Room-Lift-Graphic.rfa,,Room_Lift_Graphic_DCO
SP-Room-Riser-Graphic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\SP-Room-Riser-Graphic.rfa,,Room_Riser_Graphic_DCO
SP-Room-Riser-Smoke-Graphic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\SP-Room-Riser-Smoke-Graphic.rfa,,Room_Riser_Smoke_Graphic_DCO
SP-Stair-Graphic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\SP-Stair-Graphic.rfa,,Stair_Graphic_DCO
SP-Stair-Graphic_Step_Landing,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\SP-Stair-Graphic_Step_Landing.rfa,Detail Items,Stair_Graphic_Step_Landing_DCO
SP-Stair-Run,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\SP-Stair-Run.rfa,Detail Items,Stair_Run_DCO
SP-Stair-Tread,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\SP-Stair-Tread.rfa,Detail Items,Stair_Tread_DCO
Stair_Clearance,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\Stair_Clearance.rfa,Detail Items,Stair_Clearance_DCO
GPO_Single_S_9000_01,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Electrical Fixtures\GPO_Single_S_9000_01.rfa,Electrical Fixtures,GPO_Single_S_9000_EFX
