Name,Merged,Column1,New name
Aerial - Antenna,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Annotations\Aerial - Antenna.rfa,Generic Annotations,Symbol_Aerial_ANN
E_F_SMOKE DETECTOR,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Annotations\E_F_SMOKE DETECTOR.rfa,Generic Annotations,Symbol_Smoke_Detector_ANN
SYMBOL FOR S01005,,Generic Annotations,Symbol_Outlet_GPO_Single_ANN
SYMBOL_USB,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Annotations\SYMBOL_USB.rfa,Generic Annotations,Symbol_Outlet_USB_ANN
Amplifier,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Models\Amplifier.rfa,Generic Models,Device_Amplifier_GEN
Arrow,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Models\Arrow.rfa,Generic Models,Arrow_GEN
Bracket,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Models\Bracket.rfa,Generic Models,Bracket_GEN
capisco-back,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Models\capisco-back.rfa,Generic Models,Chair_Capisco_Back_GEN
capisco-leg-part,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Models\capisco-leg-part.rfa,Generic Models,Chair_Capisco_Leg_Part_GEN
capisco-leg-wheels,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Models\capisco-leg-wheels.rfa,Generic Models,Chair_Capisco_Leg_Wheels_GEN
capisco-leg,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Models\capisco-leg.rfa,Generic Models,Chair_Capisco_Leg_GEN
capisco-seat,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Generic Models\capisco-seat.rfa,Generic Models,Chair_Capisco_Seat_GEN
Dyson_Dryer,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Mechanical Equipment\Dyson_Dryer.rfa,Mechanical Equipment,Dryer_Hand_WallMounted_Dyson_MEQ
Handset,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Nurse Call Devices\Handset.rfa,Nurse Call Devices,Handset_MedServicePanel_NCD
4257_632410W_BK_File_Rfa_Basin-Caroma_Opal_920_LH_Wall_Vanity,,Plumbing Fixtures,Basin_CaromaOpal920_Shelf_PLU
