file Name,file Path,revit category
Pallet_FQSN_057,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Pallet_FQSN_057.rfa,Furniture
Bracket_SuctionBottle_Pendant_FIHR_580,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_SuctionBottle_Pendant_FIHR_580.rfa,Furniture
Rail_Equipment_Vertical_WallMounted_FIRT_511,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Rail_Equipment_Vertical_WallMounted_FIRT_511.rfa,Specialty Equipment
Ventilator_Pendant_MMHA_540,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Ventilator_Pendant_MMHA_540.rfa,Specialty Equipment
Charger_Forklift_FQGE_004,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Charger_Forklift_FQGE_004.rfa,Electrical Equipment
Umbilical_PowerDataCabling_WorkstationSystem_FQGE_518,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Umbilical_PowerDataCabling_WorkstationSystem_FQGE_518.rfa,Furniture
Machine_EFTPOS_FQGE_038,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Machine_EFTPOS_FQGE_038.rfa,Specialty Equipment
Cabinet_PowerDistribution_CT_ELBO_502,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\Cabinet_PowerDistribution_CT_ELBO_502.rfa,Electrical Fixtures
Compactor_Waste_FQCW_052,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Compactor_Waste_FQCW_052.rfa,Specialty Equipment
Clock_TimeElapsePanel_ITCL_505,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Clock_TimeElapsePanel_ITCL_505.rfa,Specialty Equipment
SpillKit_formalin_FQCW_593,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\SpillKit_formalin_FQCW_593.rfa,Specialty Equipment
Curtain_ShowerPrivacy_ForRetractableTrack_FQGE_554,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Curtain_ShowerPrivacy_ForRetractableTrack_FQGE_554.rfa,Furniture
Light_PneumaticTubeAlert_LIFX_015,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Lighting Systems (LI)\Light_PneumaticTubeAlert_LIFX_015.rfa,Specialty Equipment
Alarm_Oxygen_Depletion_MRI_MEGE_014,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Mechanical Services (ME)\Alarm_Oxygen_Depletion_MRI_MEGE_014.rfa,Mechanical Equipment
Enclosure_DisplayScreen_TVProtection_WallMounted_AntiLigature_FIGE_531,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Enclosure_DisplayScreen_TVProtection_WallMounted_AntiLigature_FIGE_531.rfa,Specialty Equipment
Detector_Smoke_FSDE_004,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fire Services (FS)\Detector_Smoke_FSDE_004.rfa,Fire Alarm Devices
Hanger_IV_CeilingTrack_MMGE_039,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Hanger_IV_CeilingTrack_MMGE_039.rfa,Furniture
Washer_Index_MultiChamber_SideServiceAccessPanel_MMIC_093_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Washer_Index_MultiChamber_SideServiceAccessPanel_MMIC_093_1.rfa,Plumbing Fixtures
WallProtection_HandRail_CrashBar_Combined_WLPR_XXX,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Walls & Wall Finishes (WL)\WallProtection_HandRail_CrashBar_Combined_WLPR_XXX.rfa,Furniture Systems
Table_Therapy_SpeechHand_HeightAdjustable_MMAH_510,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Table_Therapy_SpeechHand_HeightAdjustable_MMAH_510.rfa,Specialty Equipment
Spill_Kit_120L_FQCW_524,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Spill_Kit_120L_FQCW_524.rfa,Specialty Equipment
WallProtection_DualRails_CrashBar_WLPR_XXX,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Walls & Wall Finishes (WL)\WallProtection_DualRails_CrashBar_WLPR_XXX.rfa,Furniture Systems
