file Name,file Path,revit category
Bench_600D_JoineryUnder_StainlessSteel_Lipped_FIJO_060,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bench_600D_JoineryUnder_StainlessSteel_Lipped_FIJO_060.rfa,Casework
Bench_600D_OpenUnder_StainlessSteel_Flat_MobileCastors_FIJO_641,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bench_600D_OpenUnder_StainlessSteel_Flat_MobileCastors_FIJO_641.rfa,Casework
Bench_600D_OpenUnder_StainlessSteel_Lipped_FIJO_021,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bench_600D_OpenUnder_StainlessSteel_Lipped_FIJO_021.rfa,Casework
Bench_600D_StainlessSteelLipped_ShelfUnder_MobileCastors_FIJO_822,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bench_600D_StainlessSteelLipped_ShelfUnder_MobileCastors_FIJO_822.rfa,Casework
Bench_600D_Working_LaminateFinish_FreeStanding_FIJO_575,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bench_600D_Working_LaminateFinish_FreeStanding_FIJO_575.rfa,Casework
Bench_700D_OpenUnder_StainlessSteel_Lipped_FIJO_522,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bench_700D_OpenUnder_StainlessSteel_Lipped_FIJO_522.rfa,Casework
Bench_750D_OpenUnder_StainlessSteel_Flat_MobileCastors_FIJO_540,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bench_750D_OpenUnder_StainlessSteel_Flat_MobileCastors_FIJO_540.rfa,Casework
Bench_750D_OpenUnder_StainlessSteel_Lipped_FIJO_032,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bench_750D_OpenUnder_StainlessSteel_Lipped_FIJO_032.rfa,Casework
Bench_750D_OpenUnder_StainlessSteel_Square_MobileCastors_FIJO_542,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bench_750D_OpenUnder_StainlessSteel_Square_MobileCastors_FIJO_542.rfa,Casework
Shelf_StainlessSteel_Underbench_FIJO_197,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Shelf_StainlessSteel_Underbench_FIJO_197.rfa,Casework
Table_Base_Round_710D_FUR,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Table_Base_Round_710D_FUR.rfa,Furniture
Table_Cafe_Square_High Performance Finish_Folding_Stackable_900W_900D_750H_FQTA_513,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Table_Cafe_Square_High Performance Finish_Folding_Stackable_900W_900D_750H_FQTA_513.rfa,Furniture
