file Name,file Path,revit category
4257_632410W_BK_File_Rfa_Basin-Caroma_Opal_920_LH_Wall_Vanity,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\4257_632410W_BK_File_Rfa_Basin-Caroma_Opal_920_LH_Wall_Vanity.rfa,Plumbing Fixtures
Basin_CaromaOpal510_PLU,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_CaromaOpal510_PLU.rfa,Plumbing Fixtures
Basin_CaromaOpal720_Shelf_LH_PLU,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_CaromaOpal720_Shelf_LH_PLU.rfa,Plumbing Fixtures
Basin_CaromaOpal720_Shelf_RH_PLU,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_CaromaOpal720_Shelf_RH_PLU.rfa,Plumbing Fixtures
Basin_CaromaOpal920_Shelf_PLU,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_CaromaOpal920_Shelf_PLU.rfa,Plumbing Fixtures
Basin_CaromaOpal920_Shelf_RH_PLU,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_CaromaOpal920_Shelf_RH_PLU.rfa,Plumbing Fixtures
Basin_CaromaSole_SemiRecessed_PLU,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_CaromaSole_SemiRecessed_PLU.rfa,Plumbing Fixtures
Basin_Handwash_Accessible_IntegratedShelf_Left_HYBA_005_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_Accessible_IntegratedShelf_Left_HYBA_005_1.rfa,Plumbing Fixtures
Basin_Handwash_Accessible_IntegratedShelf_Right_HYBA_005_2,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_Accessible_IntegratedShelf_Right_HYBA_005_2.rfa,Plumbing Fixtures
Basin_Handwash_TypeA_Scrub_Gentec_HYBA_497,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_TypeA_Scrub_Gentec_HYBA_497.rfa,Plumbing Fixtures
Basin_Handwash_TypeA_Scrub_HYBA_009,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_TypeA_Scrub_HYBA_009.rfa,Plumbing Fixtures
Basin_Handwash_TypeB_Gentec_HYBA_496,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_TypeB_Gentec_HYBA_496.rfa,Plumbing Fixtures
Basin_Handwash_TypeC_AntiLigature_Left_HYBA_505_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_TypeC_AntiLigature_Left_HYBA_505_1.rfa,Plumbing Fixtures
Basin_Handwash_TypeC_AntiLigature_Right_HYBA_505_2,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_TypeC_AntiLigature_Right_HYBA_505_2.rfa,Plumbing Fixtures
Basin_Handwash_TypeC_ExtendedIntegratedShelf_Left_HYBA_522_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_TypeC_ExtendedIntegratedShelf_Left_HYBA_522_1.rfa,Plumbing Fixtures
Basin_Handwash_TypeC_ExtendedIntegratedShelf_Right_HYBA_522_2,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_TypeC_ExtendedIntegratedShelf_Right_HYBA_522_2.rfa,Plumbing Fixtures
Basin_Handwash_TypeC_SemiRecessed_HYBA_012,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_TypeC_SemiRecessed_HYBA_012.rfa,Plumbing Fixtures
Basin_Handwash_TypeC_WithoutShelf_HYBA_500,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Basin_Handwash_TypeC_WithoutShelf_HYBA_500.rfa,Plumbing Fixtures
JoineryUnit_Baby Change_FullyIntegrated Sink_MoldedChangingArea_IntegratedBinStorageCupboard_FIJO_551_39,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\JoineryUnit_Baby Change_FullyIntegrated Sink_MoldedChangingArea_IntegratedBinStorageCupboard_FIJO_551_39.rfa,Casework
Pump_Infusion_Rapid_MMGE_080,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Pump_Infusion_Rapid_MMGE_080.rfa,Specialty Equipment
SP-Room-Stair_10_COL,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\SP-Room-Stair_10_COL.rfa,Columns
SP-Room-Stair_Nudged_10_COL,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\SP-Room-Stair_Nudged_10_COL.rfa,Columns
SP-Window_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\SP-Window_10.rfa,Generic Models
Stair_Graphic_DCO,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\Stair_Graphic_DCO.rfa,Detail Items
Stair_Graphic_Step_Landing_DCO,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\Stair_Graphic_Step_Landing_DCO.rfa,Detail Items
Stair_Run_DCO,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\Stair_Run_DCO.rfa,Detail Items
ToiletSuite_StainlessSteel_ExposedCistern_IntegratedHandwashBasin_ToiletRollHolder_AntiLigature_HYWC_506,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\ToiletSuite_StainlessSteel_ExposedCistern_IntegratedHandwashBasin_ToiletRollHolder_AntiLigature_HYWC_506.rfa,Plumbing Fixtures
ToiletSuite_Standard_ExposedCistern_HYWC_008,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\ToiletSuite_Standard_ExposedCistern_HYWC_008.rfa,Plumbing Fixtures
Window_Graphic_DCO,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Detail Items\Window_Graphic_DCO.rfa,Detail Items
Workbench_SSD_Packing_Essential_MMIC_103,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Workbench_SSD_Packing_Essential_MMIC_103.rfa,Specialty Equipment
Workbench_StainlessSteel_HeightAdjustable_MMIC_521,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Workbench_StainlessSteel_HeightAdjustable_MMIC_521.rfa,Specialty Equipment
Workbench_StainlessSteel_HeightAdjustable_MMIC_522,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Workbench_StainlessSteel_HeightAdjustable_MMIC_522.rfa,Specialty Equipment
